Company Rank,Tier,Company,Role,Location,Posted/Age,Apply URL,Source,Fit track
59,Reach / within reach,PlayStation,Software Engineer 1,"Madison, WI",2mo,https://job-boards.greenhouse.io/sonyinteractiveentertainmentglobal/jobs/5840954004?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
59,Reach / within reach,PlayStation,Software Engineer 1,LA,2mo,https://job-boards.greenhouse.io/sonyinteractiveentertainmentglobal/jobs/5840958004?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
60,Reach / within reach,Sony Interactive Entertainment,Software Engineer 1,"San Diego, CA",9d,https://job-boards.greenhouse.io/sonyinteractiveentertainmentglobal/jobs/5859292004?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
61,Reach / within reach,WeRide,New Grads 2026 - Software Engineer - Algorithm,"San Jose, CA",4mo,https://jobs.lever.co/weride/1dc0209a-f90b-4f1c-a614-75f5b7883e6d/apply?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
61,Reach / within reach,WeRide,New Grads - Software Engineer - Computer Vision,"San Jose, CA",4mo,https://jobs.lever.co/weride/d87ddf51-0def-436f-a178-135481b88f96/apply?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
61,Reach / within reach,WeRide,New Grads - General Software Engineer,"San Jose, CA",4mo,https://jobs.lever.co/weride/94562b95-f574-4a60-bfbf-0cafb5c8ea3d/apply?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
62,Reach / within reach,Symbotic,Software Engineer New Grad - Machine Learning Operations,"Burlington, MA",13d,https://symbotic.wd504.myworkdayjobs.com/Symbotic/job/USA-Wilmington--MA---HQ/Software-Engineer---ML-Ops_R6028?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
62,Reach / within reach,Symbotic,Software Engineer New Grad,"Burlington, MA",12d,https://symbotic.wd504.myworkdayjobs.com/Symbotic/job/USA-Wilmington--MA---HQ/New-Grad--Software-Engineer_R6770?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
63,Reach / within reach,Unity,Machine Learning Engineer New Grad - User Understanding,"Mountain View, CA",9d,https://boards.greenhouse.io/embed/job_app?token=7947300&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
64,Reach / within reach,Quadric,Data Scientist New Grad - Model Optimization,"Burlingame, CA",11d,https://apply.workable.com/quadric-dot-i-o-inc/j/5A15DE8CCE/apply?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
64,Reach / within reach,Quadric,Deep Learning Compiler Engineer New Grad,"Burlingame, CA",25d,https://apply.workable.com/quadric-dot-i-o-inc/j/43779C9213/apply?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
65,Reach / within reach,Ciena,Platform Software Developer New Grad,"Atlanta, GA",1d,https://ciena.wd5.myworkdayjobs.com/Careers/job/Atlanta/Platform-Software-Developer---2026-New-Grads_R031084-1?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
65,Reach / within reach,Ciena,Wavelogic Hardware Engineer New Grad,"Ottawa, ON, Canada",1mo,https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Wavelogic-Hardware-Engineer---New-Grad_R028748?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
66,Reach / within reach,Cadence Design Systems,Software Engineer New Grad - Numerical Analysis - C++,"Boston, MA",15d,https://cadence.wd1.myworkdayjobs.com/External_Careers/job/BOSTON-02/Software-Engineer_R52506-1?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
66,Reach / within reach,Cadence Design Systems,Software Engineer New Grad - Numerical Analysis - C++,"Boston, MA",15d,https://cadence.wd1.myworkdayjobs.com/Univ_Careers/job/BOSTON-02/Software-Engineer_R52506?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
66,Reach / within reach,Cadence Design Systems,Software Engineer  New College Grad - Numerical Analysis - C++,"Boston, MA",12d,https://cadence.wd1.myworkdayjobs.com/University_Talent/job/BOSTON-02/Software-Engineer--Numerical-Analysis--C----Optimization--Mathematics----New-College-Grad_R52506-1?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
66,Reach / within reach,Cadence Design Systems,Software Engineer 1,"San Jose, CA",18d,https://cadence.wd1.myworkdayjobs.com/External_Careers/job/SAN-JOSE/Software-Engineer-I_R54764-1?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
66,Reach / within reach,Cadence Design Systems,Software Engineer 1,"San Jose, CA",18d,https://cadence.wd1.myworkdayjobs.com/Univ_Careers/job/SAN-JOSE/Software-Engineer-I_R54764?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
67,Reach / within reach,Brain Corp,Software Engineer 1 - Firmware,"San Diego, CA",1mo,https://braincorp.com/open-positions?gh_jid=8502582002&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
67,Reach / within reach,Brain Corp,Software Engineer 1,"San Diego, CA",1mo,https://braincorp.com/open-positions?gh_jid=8490301002&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
68,Reach / within reach,Brain Co.,Early Career AI/ML Engineer,California,4mo,https://jobs.ashbyhq.com/brainco/bb6e555b-8bb1-4cd7-9813-4f82a5ebe839/application?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
69,Reach / within reach,Northwood Space,Software Engineer  New grad / early career,"Carson, CA",1mo,https://jobs.ashbyhq.com/NorthwoodSpace/b960b661-e1cc-40d0-bde3-290cd1b58ede/application?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
70,Reach / within reach,True Anomaly,Flight Software Engineer 1,"Long Beach, CA; Denver, CO",2mo,https://job-boards.greenhouse.io/trueanomalyinc/jobs/5090441007?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
71,Reach / within reach,Rocket Lab USA,Flight Software Engineer 1,"Littleton, CO",4d,https://job-boards.greenhouse.io/rocketlab/jobs/7734583003?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Systems / embedded adjacent
72,Reach / within reach,Lightfield,AI Product Engineer  New Grad,SF,6mo,https://jobs.ashbyhq.com/Lightfield/bb758825-5422-46c4-86c3-0be1cc89148f/application?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
73,Reach / within reach,FlexAI,Software Engineer  New Grad,"San Jose, CA",1mo,https://ats.rippling.com/flexai/jobs/93ada67c-8527-427c-b2f6-4a5557b00674?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
74,Reach / within reach,Julius AI,Refresh Software Engineer New Grad - Product,SF,11d,https://jobs.ashbyhq.com/julius/5e0b677a-f677-44de-93c6-f7848ab5a8e6/application?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
75,Reach / within reach,Lila Sciences,Software Engineer 1 - Instrument Software,"Cambridge, MA",13d,https://job-boards.greenhouse.io/lilasciences/jobs/4186444009?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
76,Reach / within reach,ClimateAI,Data Engineer 1,SF,18d,https://job-boards.greenhouse.io/climateai/jobs/5137357007?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
77,Reach / within reach,AIG,Early Career - Gen AI - Data Science Analyst,"Atlanta, GA",4mo,https://aig.wd1.myworkdayjobs.com/aig/job/GA-Atlanta/XMLNAME-2026-Early-Career---Gen-AI---Data-Science-Analyst---United-States--Atlanta--GA--_JR2505608-1?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
78,Reach / within reach,Talan,Junior AI & Data Consultant,"4 locationsLondon, UK; Edinburgh, UK; Leeds, UK; Manchester, UK",4d,https://jobs.smartrecruiters.com/Talan/744000128710379?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
79,Reach / within reach,Westinghouse Electric Company,Data Scientist New Grad,"Cranberry Twp, PA",24d,https://careers.westinghousenuclear.com/job/Cranberry-Township-Data-Scientist-New-Grad-Leadership-Program-NC/1389167200/?ats=successfactors&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,AI / data engineering
80,Reach / within reach,Parallel Web Systems,Early Career Research Engineer,"Palo Alto, CA",4mo,https://jobs.ashbyhq.com/parallel/056e41f8-7d5f-41c1-99fd-bf002dc072fd/application?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
81,Safe / volume,Albertsons,Entry Level Front End Engineer,"Carlsbad, NM",0d,https://eofd.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/717308?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
81,Safe / volume,Albertsons,Entry Level Front End Engineer,"Merrimack, NH",0d,https://eofd.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/717323?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
82,Safe / volume,mthree,Junior Software Engineer,United States,6mo,https://mthree.com/careers/job/?gh_jid=4374344006&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
82,Safe / volume,mthree,Junior Software Developer,"Montreal, QC, Canada",2mo,https://job-boards.greenhouse.io/mthreerecruitingportal/jobs/4374767006?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
82,Safe / volume,mthree,Junior Software Developer,"Montreal, QC, Canada",2mo,https://job-boards.greenhouse.io/mthreerecruitingportal/jobs/4628952006?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
82,Safe / volume,mthree,Junior Software Developer - Go Lang,United Kingdom,6mo,https://job-boards.greenhouse.io/mthreerecruitingportal/jobs/4604065006?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
83,Safe / volume,IXL Learning,Software Engineer  New Grad,"San Mateo, CA",1mo,https://www.ixl.com/company/jobs?gh_jid=8530389002&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
83,Safe / volume,IXL Learning,Software Engineer  New Grad,"Raleigh, NC",1mo,https://www.ixl.com/company/jobs?gh_jid=8530542002&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
83,Safe / volume,IXL Learning,Software Developer  New Grad,"Toronto, ON, Canada",3mo,https://www.ixl.com/company/jobs?gh_jid=8430283002&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
84,Safe / volume,Captivation,Software Engineer 1 - AWS/Docker/Kubernetes/Java/Javascript/Kibana/Git,"Annapolis Junction, MD",12d,https://job-boards.greenhouse.io/captivation/jobs/5225182008?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
84,Safe / volume,Captivation,Software Engineer 1 - Java/Mapreduce/Cloud/Ghostmachine/QTA,"Annapolis Junction, MD",12d,https://job-boards.greenhouse.io/captivation/jobs/5225213008?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
84,Safe / volume,Captivation,Software Engineer 1 - Linux/HPC/Bash/Python/Docker/Gitlab/CI/CD,"Annapolis Junction, MD",8d,https://job-boards.greenhouse.io/captivation/jobs/5230024008?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
84,Safe / volume,Captivation,Software Engineer 0 - Java,"Annapolis Junction, MD",12d,https://job-boards.greenhouse.io/captivation/jobs/5225203008?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Platform / backend / cloud
85,Safe / volume,Berkshire Hathaway Energy,Software Engineer 1 - Automation,"6 locationsSalt Lake City, UT; Las Vegas, NV; Des Moines, IA; Richmond, VA; Reno, NV; Portland, OR",1mo,https://fa-essf-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/10004755?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
85,Safe / volume,Berkshire Hathaway Energy,Software Engineer 1 Intern,"5 locationsDes Moines, IA; Richmond, VA; Reno, NV; Sioux City, IA; Davenport, IA",2mo,https://fa-essf-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/10004645?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
86,Safe / volume,McDonald's,Software Engineer I C#,"Chicago, IL",6mo,https://jobs.mcdonalds.com/job/Chicago-Software-Engineer-I-C-IL-60607/1340292800/?ats=successfactors&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Full-stack / enterprise app
86,Safe / volume,McDonald's,Software Engineer 1 - iOS,"Chicago, IL",6mo,https://jobs.mcdonalds.com/job/Chicago-Software-Engineer-I-iOS-IL-60607/1322170500/?ats=successfactors&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Full-stack / enterprise app
87,Safe / volume,Fullbay,Software Engineer 1,"Phoenix, AZ",24d,https://fullbay.bamboohr.com/careers/235/?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
88,Safe / volume,Baton Corporation,Junior Full Stack Engineer,"New York, NY",3mo,https://jobs.ashbyhq.com/batoncorporation/bb3ab630-5e59-48b5-9794-00a225879a66?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,Full-stack / enterprise app
89,Safe / volume,Loop,New Grad - Full-Stack,"Chicago, IL",1mo,https://job-boards.greenhouse.io/loop/jobs/5981831004?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
90,Safe / volume,Perpay,Software Engineer  New Grad,"Philadelphia, PA",4mo,https://job-boards.greenhouse.io/perpay/jobs/4034578007?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
91,Safe / volume,Quince,Software Development Engineer New Grad,"Palo Alto, CA",11d,https://job-boards.greenhouse.io/quince/jobs/5226786008?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
92,Safe / volume,Remodel Health,Junior Software Engineer,"Indianapolis, IN",2mo,https://job-boards.greenhouse.io/remodelhealth/jobs/5163796008?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
93,Safe / volume,Latitude,Entry Level Software Developer - Data & Database Focus,"Baltimore, MD",3mo,https://jobs.lever.co/latitudeinc/4afc4fa6-2729-4de4-89bf-cda1209fb0d8/apply?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
94,Safe / volume,KRG Technologies,Junior Software Engineer,"Redmond, WA",2mo,https://jobs.smartrecruiters.com/KrgTechnologyInc/101351633?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
95,Safe / volume,Freedom Technology Solutions Group,Junior Software Engineer,"St. Louis, MO",2mo,https://job-boards.greenhouse.io/freedomconsulting/jobs/5089261007?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
96,Safe / volume,Fortinet,Junior Software Developer,"Santa Clara, CA",1mo,https://edel.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/22744?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
97,Safe / volume,Konrad Group,Software Developer - Entry Level,"London, UK",2mo,https://boards.greenhouse.io/embed/job_app?token=7669159003&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
98,Safe / volume,D2L,Software Developer  New Graduate,"4 locationsWinnipeg, MB, Canada; Toronto, ON, Canada; Kitchener, ON, Canada; Vancouver, BC, Canada",5mo,https://www.d2l.com/careers/jobs/?job_id=7455458&gh_jid=7455458&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
99,Safe / volume,Melaleuca,Software Engineer 1 - Business Intelligence,"Idaho Falls, ID",2mo,https://careers-melaleuca.icims.com/jobs/9067/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
100,Safe / volume,Clearer.io,Associate Software Engineer 1,"Leicester, UK",3mo,https://jobs.lever.co/Clearer/530ccee8-a05b-4511-9b0f-4296a8a489ef/apply?utm_source=Simplify&ref=Simplify,SimplifyJobs New-Grad-Positions active,General SWE / entry level
